根据您提供的 GD32H759xx 数据手册截图，我为您整理了所有端口的引脚复用功能（AF）映射表。

> **说明：**
> 1. 表格中的空白单元格表示该引脚在该复用功能上没有分配对应的外设（即空置）。
> 2. 部分功能后带有的 `(1)` 和 `(2)` 为手册注释，表明该功能（如部分以太网 `ETH1` 接口或特定复用位）仅在 **GD32H759xIK6** 设备上可用。
> 3. `AF0` 列通常为 GPIO 的默认复用功能或其他基础功能。

---

### Port A 复用功能映射表

| Pin Name | AF0 | AF1 | AF2 | AF3 | AF4 | AF5 | AF6 | AF7 | AF8 | AF9 | AF10 | AF11 | AF12 | AF13 | AF14 | AF15 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| **PA0** | TIMER1_CH0/TIMER1_ETI | TIMER4_CH0 | TIMER7_ETI | TIMER14_BRKIN0 | SPI5_NSS/I2S5_WS | OSPIM_P0_UO6 | USART1_CTS | UART3_TX | SDIO1_CMD | SAI1_SD1 | ETH0_MII_CRS | EXMC_A19 | TRIGSEL_IN0 |  |  | EVENTOUT |
| **PA1** | TIMER1_CH1 | TIMER4_CH1 | TIMER7_MCH0 |  |  |  | USART1_RTS/USA_RT1_DE | UART3_RX | OSPIM_P0_IO3 | SAI1_MCLK1 | ETH0_MII_RX_CLK/ETH0_MII_REF_CLK |  | TRIGSEL_IN1 | TLI_R2 |  | EVENTOUT |
| **PA2** | TIMER1_CH2 | TIMER4_CH2 |  | TIMER14_CH0 |  | OSPIM_P0_UO0 | USART1_TX |  | SAI1_SCK1 |  | ETH0_MDIO |  | TRIGSEL_IN7 | TLI_R1 |  | EVENTOUT |
| **PA3** | TIMER1_CH3 | TIMER4_CH3 |  | TIMER14_CH1 | I2S2_M_CK | OSPIM_P0_UO2 | USART1_RX |  |  | TLI_B2 | USBHS0_ULPI_D0 | ETH0_MII_COL | OSPIM_P0_SCK | TRIGSEL_IN4 | TLI_B5 | EVENTOUT |
| **PA4** | TIMER4_ETI |  |  |  | SPI5_NSS/I2S5_WS | SPI2_NSS/I2S2_WS |  | USART1_CTS | SPI6_NSS/I2S6_WS |  |  |  |  |  |  | EVENTOUT |
| **PA5** | TIMER1_CH0/TIMER1_ETI |  | TIMER7_MCH0 |  | SPI5_SCK/I2S5_CK |  |  |  | SPI6_SCK/I2S6_CK | USBHS0_ULPI_CK | MDIO_A0 | EXMC_D9 |  | TLI_R4 |  | EVENTOUT |
| **PA6** | TIMER0_B_RKIN0 | TIMER2_CH0 | TIMER7_B_RKIN0 |  | SPI5_MISO | OSPIM_P0_UO3 |  |  | SPI6_MISO | CMP_MU_X_OUT0 | MDIO_MDC | EXMC_D8 | DCI_PIXCLK | TLI_G2 |  | EVENTOUT |
| **PA7** | TIMER0_MC_H0 | TIMER2_CH1 | TIMER7_MCH0 |  | SPI5_MOSI/I2S5_SD |  |  |  | SPI6_MOSI/I2S6_SD | OSPIM_P0_IO2 | USBHS0_ULPI_D2 | ETH0_MII_RX_DV/ETH0_MII_RXD_V | EXMC_D6 | TRIGSEL_IN5 | TLI_VSYNC | EVENTOUT |
| **PA8** | CK_OUT_0 | TIMER0_CH0 | TIMER7_B_RKIN2 |  | I2C2_SCL |  |  | USART0_CK |  | USBHS0_SOF | UART6_RX | CMP_MUX_OUT1 | TLI_B3 | TLI_R6 |  | EVENTOUT |
| **PA9** |  | TIMER0_CH1 |  | I2C2_SMBA | SPI1_SCK/I2S1_CK |  |  | USART0_TX |  | TRIGSEL_IN13 |  |  | DCI_D0 | TLI_R5 |  | EVENTOUT |
| **PA10** |  | TIMER0_CH2 |  |  |  |  |  | USART0_RX |  | USBHS0_D | MDIO | TLI_B4 | DCI_D1 | TLI_B1 |  | EVENTOUT |
